arxiv_id	authors	author_keys	publisher	date	timestamp
9201001	C. Itzykson|J.-B. Zuber	C_ITZYKSON|J_ZUBER	Int.J.Mod.Phys. A	1991-12-31T23:54:17	694252457
9201002	F.Bonechi|E.Celeghini|R.Giachetti|E.Sorace|M.Tarlini	F_BONECHI|E_CELEGHINI|R_GIACHETTI|E_SORACE|M_TARLINI	Phys.Rev.Lett.	1992-01-02T12:17:00	694383420
9201003	Robbert Dijkgraaf	R_DIJKGRAAF	None	1992-01-02T14:06:00-05:00	694389960
9201004	Nathan Berkovits	N_BERKOVITS	Nucl.Phys. B	1992-01-02T20:02:01-05:00	694411321
9201005	Igor R. Klebanov	I_KLEBANOV	Mod. Phys. Lett. A	1992-01-03T17:09:04-05:00	694487344
9201006	Denis Bernard	D_BERNARD	Phys.Lett. B	1992-01-06T17:16:14	694746974
9201007	Mirjam Cvetic|Stephen Griffies|Soo-Jong Rey	M_CVETIC|S_GRIFFIES|S_REY	Nucl.Phys. B	1992-01-06T00:00:00-05:00	694684800
9201008	Satoshi Matsuda	S_MATSUDA	Phys.Lett. B	1992-01-07T14:46:07	694824367
9201009	Eva Silverstein	E_SILVERSTEIN	Phys. Lett. B	1992-01-08T11:23:00	694898580
9201010	A.Marshakov|A.Mironov|A.Morozov	A_MARSHAKOV|A_MIRONOV|A_MOROZOV	Mod. Phys. Lett. A	1992-01-08T19:57:00	694929420
9201011	A.Marshakov|A.Mironov|A.Morozov	A_MARSHAKOV|A_MIRONOV|A_MOROZOV	Phys. Lett. B	1992-01-08T20:09:00	694930140
9201012	A.Mironov|A.Zabrodin	A_MIRONOV|A_ZABRODIN	Int. J. Mod. Phys. A	1992-01-08T20:13:00	694930380
9201013	S.Kharchev|A.Marshakov|A.Mironov|A.Morozov|A.Zabrodin	S_KHARCHEV|A_MARSHAKOV|A_MIRONOV|A_MOROZOV|A_ZABRODIN	Nucl.Phys. B	1992-01-08T20:09:00	694930140
9201014	"P. Berglund|T. H\""ubsch"	P_BERGLUND|T_HUBSCH	Nucl.Phys. B	1992-01-09T12:02:40	694987360
9201015	S. Kar|S. Khastgir|A. Kumar	S_KAR|S_KHASTGIR|A_KUMAR	Mod.Phys.Lett. A	1992-01-07T07:55:11	694799711
9201016	Leonardo Castellani	L_CASTELLANI	Phys.Lett. B	1992-01-09T17:50:00	695008200
9201017	Nathan Seiberg|Stephen Shenker	N_SEIBERG|S_SHENKER	Phys.Rev. D	1992-01-09T15:18:07-05:00	694999087
9201018	Waichi Ogura	W_OGURA	Prog.Theor.Phys.	1992-01-09T18:18:54	695009934
9201019	J. A. Dixon|M. J. Duff|E. Sezgin	J_DIXON|M_DUFF|E_SEZGIN	Phys. Lett. B	1992-01-10T16:10:40	695088640
